10:43:40.658 [AWT-EventQueue-0] INFO  c.b.MainFrame - init version:2
10:43:43.268 [AWT-EventQueue-0] INFO  c.b.MainFrame - actionCommand:导入用户登录信息
10:43:56.018 [AWT-EventQueue-0] INFO  c.b.MainFrame - actionCommand:导入答案信息
10:44:25.538 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - name:
10:44:25.538 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - count:5
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1c2dfa2
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [pool-2-thread-1] INFO  c.b.s.Worker - doHomework
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1006b43
10:44:25.558 [pool-2-thread-1] INFO  c.b.s.Worker - doWork
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [pool-2-thread-1] INFO  c.b.QuestionTask - DriverFactory.getDriver()
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@13151c2
10:44:25.558 [pool-2-thread-2] INFO  c.b.s.Worker - doHomework
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@bfa35
10:44:25.558 [pool-2-thread-2] INFO  c.b.s.Worker - doWork
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@5292ac
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1067f25
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1faedf4
10:44:25.558 [pool-2-thread-1] INFO  c.b.DriverFactory - webdriver.chrome.driver
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@151ccd5
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [pool-2-thread-2] INFO  c.b.QuestionTask - DriverFactory.getDriver()
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@437394
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.558 [pool-2-thread-2] INFO  c.b.DriverFactory - webdriver.chrome.driver
10:44:25.558 [pool-2-thread-4] INFO  c.b.s.Worker - doHomework
10:44:25.558 [pool-2-thread-5] INFO  c.b.s.Worker - doHomework
10:44:25.558 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@a4c9ee
10:44:25.558 [pool-2-thread-3] INFO  c.b.s.Worker - doHomework
10:44:25.568 [pool-2-thread-4] INFO  c.b.s.Worker - doWork
10:44:25.568 [pool-2-thread-5] INFO  c.b.s.Worker - doWork
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [pool-2-thread-3] INFO  c.b.s.Worker - doWork
10:44:25.568 [pool-2-thread-4] INFO  c.b.QuestionTask - DriverFactory.getDriver()
10:44:25.568 [pool-2-thread-5] INFO  c.b.QuestionTask - DriverFactory.getDriver()
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@450043
10:44:25.568 [pool-2-thread-3] INFO  c.b.QuestionTask - DriverFactory.getDriver()
10:44:25.568 [pool-2-thread-4] INFO  c.b.DriverFactory - webdriver.chrome.driver
10:44:25.568 [pool-2-thread-5] INFO  c.b.DriverFactory - webdriver.chrome.driver
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [pool-2-thread-1] INFO  c.b.DriverFactory - ChromeDriver
10:44:25.568 [pool-2-thread-2] INFO  c.b.DriverFactory - ChromeDriver
10:44:25.568 [pool-2-thread-3] INFO  c.b.DriverFactory - webdriver.chrome.driver
10:44:25.568 [pool-2-thread-4] INFO  c.b.DriverFactory - ChromeDriver
10:44:25.568 [pool-2-thread-5] INFO  c.b.DriverFactory - ChromeDriver
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1334c7a
10:44:25.568 [pool-2-thread-3] INFO  c.b.DriverFactory - ChromeDriver
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@67579b
